date,temp_mean_C,temp_max_C,temp_min_C,temp_range_C,flow_mean_cfs,flow_min_cfs,flow_max_cfs,flow_log_mean,temp_change_1d,flow_change_1d,day_of_year,month,n_obs
2024-07-13,11.002083333333333,12.3,10.5,1.8000000000000007,315.71875,313.0,321.0,5.758014156086374,0.09375,-0.2916666666666856,195,7,96
2024-07-14,11.119791666666666,12.4,10.5,1.9000000000000004,313.625,310.0,317.0,5.75138145345548,0.11770833333333286,-2.09375,196,7,96
2024-07-15,11.295833333333334,12.9,10.7,2.200000000000001,275.4895833333333,242.0,317.0,5.622173146955566,0.1760416666666682,-38.135416666666686,197,7,96
2024-07-16,11.489583333333334,13.0,10.7,2.3000000000000007,258.15625,248.0,261.0,5.557431161651477,0.19374999999999964,-17.333333333333314,198,7,96
2024-07-17,11.559375000000001,13.0,10.8,2.1999999999999993,263.6979166666667,254.0,288.0,5.578589238656812,0.06979166666666714,5.541666666666686,199,7,96
2024-07-18,11.738541666666668,13.3,11.0,2.3000000000000007,267.625,264.0,278.0,5.593316354962674,0.17916666666666714,3.9270833333333144,200,7,96
2024-07-19,11.560416666666667,13.0,10.9,2.0999999999999996,261.4375,257.0,264.0,5.570012958444412,-0.17812500000000142,-6.1875,201,7,96
2024-07-20,11.451041666666667,12.2,10.9,1.299999999999999,260.4375,257.0,270.0,5.566195249202417,-0.109375,-1.0,202,7,96
2024-07-21,11.730526315789474,13.1,11.1,2.0,259.33684210526314,257.0,263.0,5.561976339077918,0.2794846491228071,-1.1006578947368553,203,7,95
2024-07-22,11.741666666666667,12.7,11.2,1.5,258.125,256.0,263.0,5.557310570755944,0.011140350877193228,-1.2118421052631447,204,7,96
2024-07-23,11.697916666666666,12.2,11.4,0.7999999999999989,260.0625,259.0,263.0,5.564759842257394,-0.043750000000001066,1.9375,205,7,96
2024-07-24,11.895833333333334,12.7,11.6,1.0999999999999996,259.5104166666667,256.0,263.0,5.56264284759805,0.19791666666666785,-0.5520833333333144,206,7,96
2024-07-25,12.027083333333332,12.8,11.6,1.200000000000001,257.6666666666667,256.0,263.0,5.555540231515109,0.13124999999999787,-1.84375,207,7,96
2024-07-26,12.280208333333334,13.7,11.6,2.0999999999999996,255.71875,252.0,259.0,5.547981127671642,0.2531250000000025,-1.9479166666666856,208,7,96
2024-07-27,12.298958333333333,13.4,11.7,1.700000000000001,254.67708333333334,252.0,259.0,5.5439152550243165,0.018749999999998934,-1.0416666666666572,209,7,96
2024-07-28,12.450000000000001,13.8,11.8,2.0,254.90625,252.0,255.0,5.544811166470462,0.15104166666666785,0.2291666666666572,210,7,96
2024-07-29,12.4,13.1,12.1,1.0,220.81052631578947,205.0,262.0,5.401823532382521,-0.05000000000000071,-34.095723684210526,211,7,95
2024-07-30,12.924999999999999,14.4,12.3,2.0999999999999996,205.96875,202.0,208.0,5.332567815685253,0.5249999999999986,-14.841776315789474,212,7,96
